01-Sep-2017 03-20-13	999	1	experiment created.
01-Sep-2017 03-21-53	3	2	beginning practice:
01-Sep-2017 03-21-53	3	2	Displaying stimuli
01-Sep-2017 03-21-57	3	2	Begin CSI
01-Sep-2017 03-21-58	3	2	Participant made a response for OS
01-Sep-2017 03-22-00	3	2	Participant made a response for OS
01-Sep-2017 03-22-02	3	2	Participant made a response for OS
01-Sep-2017 03-22-03	3	2	Probe displayed
01-Sep-2017 03-22-04	3	2	Recognition response made
01-Sep-2017 03-22-05	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-22-05	3	2	6000	3	intrusion	red	middle	224	4		399	5		28	6		10	1		358	2		380	3		10	0		1	1485	3
01-Sep-2017 03-22-05	3	2	Displaying stimuli
01-Sep-2017 03-22-09	3	2	Begin CSI
01-Sep-2017 03-22-10	3	2	Participant made a response for OS
01-Sep-2017 03-22-12	3	2	Participant made a response for OS
01-Sep-2017 03-22-14	3	2	Participant made a response for OS
01-Sep-2017 03-22-15	3	2	Probe displayed
01-Sep-2017 03-22-18	3	2	Recognition response made
01-Sep-2017 03-22-18	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-22-18	3	2	6000	3	intrusion	green	middle	394	1		197	2		369	3		192	4		57	5		62	6		192	0		1	2956	3
01-Sep-2017 03-22-18	3	2	Displaying stimuli
01-Sep-2017 03-22-22	3	2	Begin CSI
01-Sep-2017 03-22-23	3	2	Participant made a response for OS
01-Sep-2017 03-22-25	3	2	Participant made a response for OS
01-Sep-2017 03-22-26	3	2	Participant made a response for OS
01-Sep-2017 03-22-28	3	2	Participant made a response for OS
01-Sep-2017 03-22-28	3	2	Probe displayed
01-Sep-2017 03-22-30	3	2	Recognition response made
01-Sep-2017 03-22-31	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-22-31	3	2	6000	4	intrusion	green	middle	77	1		123	2		164	3		86	4		212	5		0	6		212	0		1	1982	4
01-Sep-2017 03-22-31	3	2	Displaying stimuli
01-Sep-2017 03-22-35	3	2	Begin CSI
01-Sep-2017 03-22-36	3	2	Participant made a response for OS
01-Sep-2017 03-22-39	3	2	Participant made a response for OS
01-Sep-2017 03-22-41	3	2	Probe displayed
01-Sep-2017 03-22-42	3	2	Recognition response made
01-Sep-2017 03-22-42	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-22-42	3	2	6000	2	intrusion	green	middle	53	1		147	2		357	3		180	4		127	5		125	6		180	0		1	1161	2
01-Sep-2017 03-22-42	3	2	Displaying stimuli
01-Sep-2017 03-22-46	3	2	Begin CSI
01-Sep-2017 03-22-47	3	2	Participant made a response for OS
01-Sep-2017 03-22-51	3	2	Participant made a response for OS
01-Sep-2017 03-22-53	3	2	Probe displayed
01-Sep-2017 03-22-54	3	2	Recognition response made
01-Sep-2017 03-22-54	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-22-54	3	2	6000	2	intrusion	red	middle	280	4		116	5		40	6		347	1		131	2		282	3		347	0		1	1148	2
01-Sep-2017 03-23-16	3	2	beginning trials:
01-Sep-2017 03-23-16	3	2	Displaying stimuli
01-Sep-2017 03-23-20	3	2	Begin CSI
01-Sep-2017 03-23-21	3	2	Participant made a response for OS
01-Sep-2017 03-23-23	3	2	Participant made a response for OS
01-Sep-2017 03-23-25	3	2	Participant made a response for OS
01-Sep-2017 03-23-26	3	2	Probe displayed
01-Sep-2017 03-23-27	3	2	Recognition response made
01-Sep-2017 03-23-28	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-23-28	3	2	6000	3	positive	green	middle	73	1		375	2		107	3		392	4		186	5		291	6		107	0		0	859	3
01-Sep-2017 03-23-28	3	2	Displaying stimuli
01-Sep-2017 03-23-32	3	2	Begin CSI
01-Sep-2017 03-23-33	3	2	Participant made a response for OS
01-Sep-2017 03-23-36	3	2	Participant made a response for OS
01-Sep-2017 03-23-38	3	2	Probe displayed
01-Sep-2017 03-23-39	3	2	Recognition response made
01-Sep-2017 03-23-40	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-23-40	3	2	6000	2	intrusion	green	middle	317	1		284	2		48	3		341	4		300	5		167	6		167	0		1	1243	1
01-Sep-2017 03-23-40	3	2	Displaying stimuli
01-Sep-2017 03-23-44	3	2	Begin CSI
01-Sep-2017 03-23-45	3	2	Participant made a response for OS
01-Sep-2017 03-23-48	3	2	Participant made a response for OS
01-Sep-2017 03-23-50	3	2	Probe displayed
01-Sep-2017 03-23-51	3	2	Recognition response made
01-Sep-2017 03-23-51	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-23-51	3	2	6000	2	positive	green	middle	68	1		67	2		215	3		41	4		251	5		100	6		215	0		0	1112	2
01-Sep-2017 03-23-51	3	2	Displaying stimuli
01-Sep-2017 03-23-55	3	2	Begin CSI
01-Sep-2017 03-23-56	3	2	Participant made a response for OS
01-Sep-2017 03-23-59	3	2	Participant made a response for OS
01-Sep-2017 03-24-01	3	2	Probe displayed
01-Sep-2017 03-24-02	3	2	Recognition response made
01-Sep-2017 03-24-02	3	2	Exiting trial, gooodbye.
01-Sep-2017 03-24-02	3	2	6000	2	new	red	middle	156	4		319	5		309	6		158	1		290	2		132	3		119	0		1	582	2
